name,ingredients,diet,prep_time,cook_time,flavor_profile,course,state,region
Mantı,"flour, ground beef, onion, yogurt, butter",non vegetarian,12,13,spicy,main course,Niğde,İç Anadolu
Etli Ekmek,"thin dough, ground meat, tomato, pepper, parsley",non vegetarian,22,41,spicy,main course,Karaman,İç Anadolu
Tandır Kebap,"lamb, salt, pepper",non vegetarian,13,104,-1,main course,Eskişehir,İç Anadolu
İmam Bayıldı,"eggplant, onion, tomato, olive oil, garlic",vegetarian,48,104,-1,main course,Bursa,Marmara
Bursa İskender,"doner, pide bread, butter, tomato sauce, yogurt",non vegetarian,10,85,spicy,main course,Sakarya,Marmara
Boyoz,"flour, oil, tahini, egg (optional), sesame",vegetarian,7,13,-1,snack,Kütahya,Ege
Künefe,"kadayıf, unsalted cheese, butter, syrup, pistachio",vegetarian,18,39,sweet,dessert,Adana,Akdeniz
Sütlaç,"milk, rice, sugar, rice flour, vanilla",vegetarian,43,13,sweet,dessert,Sakarya,Marmara
Pide (Kıymalı),"flour, yeast, ground beef, tomato, pepper",non vegetarian,50,93,spicy,main course,Sinop,Karadeniz
Pide (Kaşarlı),"flour, yeast, kaşar cheese, butter",vegetarian,19,67,-1,main course,Bolu,Karadeniz
Dolma (Zeytinyağlı),"vine leaves, rice, onion, currants, pine nuts, olive oil",vegetarian,56,10,-1,main course,Denizli,Ege
Karnıyarık,"eggplant, ground beef, onion, tomato, pepper",non vegetarian,49,64,spicy,main course,Edirne,Marmara
Tantuni,"beef, lavash, onion, tomato, sumac",non vegetarian,22,29,spicy,main course,Burdur,Akdeniz
Adana Kebap,"ground lamb, tail fat, chili, salt",non vegetarian,53,53,spicy,main course,Hatay,Akdeniz
Biber Dolması,"bell pepper, rice, onion, tomato, olive oil",vegetarian,10,58,-1,main course,Adana,Akdeniz
Antakya Tepsi Kebabı,"ground meat, onion, pepper paste, chili flakes, parsley",non vegetarian,27,118,spicy,main course,Adana,Akdeniz
Tahini Piyaz,"beans, tahini, lemon, garlic, olive oil",vegetarian,43,43,-1,starter,Burdur,Akdeniz
Bici Bici,"starch, sugar syrup, rose water, ice",vegetarian,51,68,sweet,dessert,Antalya,Akdeniz
Cevizli Kabak Tatlısı,"pumpkin, sugar, walnuts, tahini",vegetarian,29,20,sweet,dessert,Adana,Akdeniz
Şiş Köfte,"ground beef, onion, bread crumbs, spices",non vegetarian,58,90,spicy,main course,Isparta,Akdeniz
Arabaşı Çorbası,"chicken, flour dough, chili, butter",non vegetarian,60,56,spicy,soup,Kırıkkale,İç Anadolu
Bulgur Pilavı,"bulgur, tomato, pepper, butter",vegetarian,17,100,-1,main course,Kırıkkale,İç Anadolu
Ankara Tava,"meat, orzo, butter, broth",non vegetarian,7,94,-1,main course,Konya,İç Anadolu
Testi Kebabı,"meat, tomato, pepper, clay pot",non vegetarian,54,47,spicy,main course,Eskişehir,İç Anadolu
Pişi,"flour, yeast, yogurt, oil, salt",vegetarian,59,39,-1,snack,Konya,İç Anadolu
Hamsi Tava,"anchovy, corn flour, oil, salt",non vegetarian,29,45,-1,main course,Giresun,Karadeniz
Kuymak/Muhlama,"cornmeal, butter, cheese",vegetarian,45,116,-1,main course,Tokat,Karadeniz
Laz Böreği,"phyllo, custard, butter, syrup",vegetarian,15,57,sweet,dessert,Düzce,Karadeniz
Mısır Ekmeği,"corn flour, water, salt, oil",vegetarian,33,95,-1,bread,Düzce,Karadeniz
Kaygana,"egg, flour, green onions, parsley",vegetarian,49,97,-1,snack,Artvin,Karadeniz
Cağ Kebabı,"lamb, tail fat, salt",non vegetarian,9,87,-1,main course,Bitlis,Doğu Anadolu
Kete,"flour, butter, sugar, milk",vegetarian,30,78,-1,bread,Bitlis,Doğu Anadolu
Helle Çorbası,"yogurt, flour, egg, mint",vegetarian,20,30,-1,soup,Iğdır,Doğu Anadolu
Malatya Kayısılı Tatlı,"dried apricot, walnut, sugar, butter",vegetarian,29,44,sweet,dessert,Tunceli,Doğu Anadolu
Keledoş,"meat, chickpeas, wheat, yogurt, herbs",non vegetarian,49,81,-1,main course,Bitlis,Doğu Anadolu
Antep Baklavası,"phyllo, pistachio, butter, syrup",vegetarian,48,51,sweet,dessert,Mardin,Güneydoğu
Lahmacun (Antep),"dough, ground meat, tomato, pepper, parsley",non vegetarian,19,115,spicy,main course,Gaziantep,Güneydoğu
İçli Köfte,"bulgur, ground meat, onion, walnuts",non vegetarian,56,50,spicy,starter,Gaziantep,Güneydoğu
Urfa Kebap,"ground lamb, chili, salt",non vegetarian,22,18,spicy,main course,Şırnak,Güneydoğu
Çiğ Köfte (Etsiz),"bulgur, isot pepper, tomato paste, pomegranate molasses",vegetarian,41,101,spicy,starter,Mardin,Güneydoğu
Şıllık Tatlısı,"thin crepe, walnut, syrup",vegetarian,18,93,sweet,dessert,Siirt,Güneydoğu
Kavut,"roasted flour, butter, sugar, milk",vegetarian,30,92,sweet,dessert,Yalova,Marmara
Ayvalık Tostu,"toast bread, sucuk, kaşar cheese, pickles, ketchup",non vegetarian,14,43,-1,snack,Yalova,Marmara
Islak Hamburger,"ground beef, burger bun, garlic, tomato paste, butter",non vegetarian,20,105,spicy,snack,Edirne,Marmara
Kazandibi,"milk, sugar, starch, butter, cinnamon",vegetarian,39,43,sweet,dessert,Sakarya,Marmara
Tarhana Çorbası,"tarhana, water, butter, mint",vegetarian,42,61,-1,soup,Kütahya,Ege
Keşkek,"wheat, chickpeas, meat or butter, broth",non vegetarian,19,27,-1,main course,Uşak,Ege
Zeytinyağlı Enginar,"artichoke, olive oil, lemon, peas, carrots",vegetarian,10,106,-1,starter,Afyonkarahisar,Ege
Ot Kavurması,"Aegean greens, olive oil, garlic, pepper, salt",vegetarian,60,24,-1,starter,İzmir,Ege
Menemen,"tomato, pepper, egg, olive oil, salt",vegetarian,45,20,-1,main course,Muğla,Ege
Gözleme (Peynirli),"dough, white cheese, parsley, butter",vegetarian,32,76,-1,snack,Niğde,İç Anadolu
Gözleme (Patatesli),"dough, potato, onion, pepper",vegetarian,29,48,-1,snack,Konya,İç Anadolu
Kuru Fasulye,"beans, onion, tomato paste, butter",vegetarian,38,32,-1,main course,Yalova,Marmara
Pilav (Bulgur),"bulgur, butter, broth, salt",vegetarian,60,120,-1,main course,Kırşehir,İç Anadolu
Pilav (Pirinç),"rice, butter, orzo, salt",vegetarian,48,92,-1,main course,İstanbul,Marmara
Mercimek Çorbası,"red lentils, onion, carrot, butter",vegetarian,48,113,-1,soup,Bursa,Marmara
Ezogelin Çorbası,"red lentils, bulgur, tomato paste, mint",vegetarian,53,34,spicy,soup,Adıyaman,Güneydoğu
Yayla Çorbası,"yogurt, rice, mint, butter",vegetarian,12,37,-1,soup,Gümüşhane,Karadeniz
Kuru Mantı (Sivas),"flour, egg, minced meat, butter, yogurt",non vegetarian,15,58,spicy,main course,Nevşehir,İç Anadolu
Tokat Kebabı,"lamb, eggplant, pepper, tomato",non vegetarian,51,112,spicy,main course,Trabzon,Karadeniz
Pazı Sarması,"chard leaves, rice, onion, olive oil",vegetarian,37,97,-1,main course,Artvin,Karadeniz
Akçaabat Köfte,"ground beef, garlic, bread crumbs",non vegetarian,37,116,spicy,main course,Zonguldak,Karadeniz
Hamsili Pilav,"anchovy, rice, currants, pine nuts",non vegetarian,60,80,-1,main course,Giresun,Karadeniz
Kuru Cacık,"yogurt, cucumber, mint, garlic",vegetarian,58,81,-1,salad,Denizli,Ege
Şakşuka,"eggplant, pepper, tomato, garlic",vegetarian,14,47,-1,starter,Manisa,Ege
Çökertme Kebabı,"beef strips, potato, yogurt, butter, tomato sauce",non vegetarian,39,99,spicy,main course,Muğla,Ege
Kokoreç,"lamb intestines, oregano, chili, bread",non vegetarian,5,76,spicy,snack,Sakarya,Marmara
Beyran,"lamb broth, rice, garlic, chili",non vegetarian,36,2,spicy,soup,Siirt,Güneydoğu
Söğüş (İzmir),"cold sliced head meat, tomato, onion",non vegetarian,28,112,-1,snack,Aydın,Ege
Kuzu Tandır,"lamb, salt, thyme",non vegetarian,20,7,-1,main course,Denizli,Ege
Bamya,"okra, tomato, onion, olive oil",vegetarian,41,10,-1,main course,Eskişehir,İç Anadolu
Kumpir,"potato, butter, kaşar cheese, sausage, pickles",non vegetarian,51,62,-1,main course,Bursa,Marmara
Midye Dolma,"mussels, rice, onion, pine nuts, currants",non vegetarian,53,68,spicy,snack,Bursa,Marmara
Simit,"flour, yeast, molasses, sesame, salt",vegetarian,13,84,-1,snack,Edirne,Marmara
Ayva Tatlısı,"quince, sugar, cloves, kaymak",vegetarian,40,21,sweet,dessert,Yalova,Marmara
Revani,"semolina, sugar, syrup, lemon zest",vegetarian,38,111,sweet,dessert,Sivas,İç Anadolu
Aşure,"wheat, chickpeas, beans, dried fruits, sugar",vegetarian,18,118,sweet,dessert,Tekirdağ,Marmara
Höşmerim,"unsalted cheese, semolina, sugar, butter",vegetarian,53,93,sweet,dessert,Sakarya,Marmara
Pekmezli Helva,"tahini, pekmez, flour, butter",vegetarian,17,91,sweet,dessert,Karaman,İç Anadolu
Zerde,"rice, saffron, sugar, raisins",vegetarian,30,85,sweet,dessert,Balıkesir,Marmara
Katmer (Antep),"phyllo, pistachio, kaymak, sugar",vegetarian,33,115,sweet,dessert,Siirt,Güneydoğu
Kilis Tava,"ground meat, pepper, tomato",non vegetarian,33,15,spicy,main course,Adıyaman,Güneydoğu
Bostana Salatası,"tomato, cucumber, onion, isot, pomegranate molasses",vegetarian,19,8,sour,salad,Mardin,Güneydoğu
Mahluta Çorbası,"red lentil, garlic, lemon, mint",vegetarian,6,75,-1,soup,Siirt,Güneydoğu
